Unnamed: 0,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Trésorerie & Interbancaires (ACTIF),90004.0,107772.0,108798.0,142417.0,144141.0,117320.0,141504.0,212000.0,227522.0,272694.0,278459.0,295709.0,346783.0,343713.0,314630.0,456990.0,579268.0,732302.0,1415180.0,1842001.0,2355214.0
Opérations avec la clientèle (ACTIF),226145.0,251668.0,301842.0,345666.0,391341.0,499170.0,545359.0,557663.0,661937.0,679361.0,809356.0,1030181.0,1220855.0,1571115.0,1907316.0,2031180.0,2188062.0,2573460.0,2933318.0,3202280.0,3442518.0
Opérations sur titres (ACTIF),62952.0,56695.0,52471.0,62897.0,62813.0,35202.0,31723.0,65306.0,84035.0,155157.0,304096.0,363925.0,461054.0,562528.0,700396.0,890341.0,1236098.0,1370605.0,715934.0,416939.0,573480.0
Immobilisations & autres actifs (ACTIF),56376.0,67321.0,67538.0,74427.0,71445.0,80898.0,81914.0,105170.0,228886.0,163348.0,182718.0,209368.0,231683.0,242700.0,264144.0,353727.0,412795.0,456639.0,253209.0,276430.0,284180.0
Trésorerie & Interbancaires (PASSIF),57523.0,59725.0,36361.0,53744.0,51453.0,84896.0,65040.0,81478.0,136874.0,141504.0,200055.0,274387.0,343640.0,518971.0,779042.0,932575.0,1185416.0,1264816.0,1086336.0,1124815.0,1141877.0
Opérations avec la clientèle (PASSIF),316942.0,355867.0,420844.0,489481.0,525205.0,535975.0,603435.0,723462.0,827136.0,952868.0,1166190.0,1371707.0,1613215.0,1877559.0,2036261.0,2395185.0,2732640.0,3294341.0,3618543.0,3895262.0,4718012.0
Emprunts (PASSIF),0.0,0.0,674.0,674.0,656.0,5968.0,5305.0,5600.0,7168.0,9768.0,4768.0,6800.0,15120.0,12612.0,16315.0,13134.0,11631.0,9836.0,9455.0,26382.0,28390.0
Fonds Propres & autres passifs (PASSIF),61012.0,67864.0,72770.0,81508.0,92426.0,105751.0,126720.0,129599.0,231202.0,166420.0,203616.0,246290.0,288400.0,310914.0,354868.0,391344.0,486535.0,564012.0,1053024.0,1201064.0,1343195.0
TOTALDEL'ACTIF,435477.0,483456.0,530649.0,625407.0,669740.0,732590.0,800500.0,940139.0,1202380.0,1270560.0,1574629.0,1899183.0,2260375.0,2720056.0,3186486.0,3732238.0,4416223.0,5133006.0,5317641.0,5737651.0,6655391.0
